chr,source,feature,start,stop,score,strand,frame,identifier
chrIV,Yassour_2010,antisense_transcript,232405,234422,5.07,-,.,Unit46
chrIV,Yassour_2010,antisense_transcript,234791,235971,2.37,-,.,Unit47
chrIV,Yassour_2010,antisense_transcript,241227,241945,3.81,-,.,Unit48
chrIV,Yassour_2010,antisense_transcript,301523,302147,5.14,-,.,Unit49
chrIV,Yassour_2010,antisense_transcript,371129,371949,7.17,-,.,Unit50
chrIV,Yassour_2010,antisense_transcript,433416,434057,3.61,-,.,Unit51
chrIV,Yassour_2010,antisense_transcript,461627,462414,6.94,-,.,Unit52
chrIV,Yassour_2010,antisense_transcript,555650,556470,2.39,+,.,Unit53
chrIV,Yassour_2010,antisense_transcript,569177,570357,1.86,+,.,Unit54
chrIV,Yassour_2010,antisense_transcript,582657,583495,1.21,+,.,Unit55
chrIV,Yassour_2010,antisense_transcript,587991,588410,1.98,+,.,Unit56
chrIV,Yassour_2010,antisense_transcript,589752,592147,3.87,+,.,Unit57
chrIV,Yassour_2010,antisense_transcript,600728,601959,2.22,-,.,Unit58
chrIV,Yassour_2010,antisense_transcript,617459,618433,3.6,+,.,Unit59
chrIV,Yassour_2010,antisense_transcript,700152,702785,4.74,-,.,Unit60
chrIV,Yassour_2010,antisense_transcript,794477,795854,1.55,+,.,Unit61
chrIV,Yassour_2010,antisense_transcript,831921,832554,2.53,+,.,Unit62
chrIV,Yassour_2010,antisense_transcript,910060,911394,4.23,-,.,Unit63
chrIV,Yassour_2010,antisense_transcript,911428,913736,4.14,-,.,Unit64
chrIV,Yassour_2010,antisense_transcript,946724,948229,3.59,-,.,Unit65
chrIV,Yassour_2010,antisense_transcript,954144,954853,4.02,-,.,Unit66
chrIV,Yassour_2010,antisense_transcript,955033,955503,2.15,-,.,Unit67
chrIV,Yassour_2010,antisense_transcript,957818,958476,1.26,+,.,Unit68
chrIV,Yassour_2010,antisense_transcript,963427,964521,9.88,+,.,Unit69
chrIV,Yassour_2010,antisense_transcript,968059,969726,10.51,+,.,Unit70
chrIV,Yassour_2010,antisense_transcript,1013520,1016896,2.08,+,.,Unit71
chrIV,Yassour_2010,antisense_transcript,1102369,1103566,3.87,-,.,Unit72
chrIV,Yassour_2010,antisense_transcript,1108260,1108628,3.07,+,.,Unit73
chrIV,Yassour_2010,antisense_transcript,1213911,1214877,2.71,-,.,Unit74
chrIV,Yassour_2010,antisense_transcript,1228418,1229611,228.12,+,.,Unit75
chrIV,Yassour_2010,antisense_transcript,1234144,1236196,8.63,-,.,Unit76
chrIV,Yassour_2010,antisense_transcript,1239478,1239794,3.01,-,.,Unit77
chrIV,Yassour_2010,antisense_transcript,1288271,1289024,3.55,+,.,Unit78
chrIV,Yassour_2010,antisense_transcript,1295782,1296787,4.49,+,.,Unit79
chrIV,Yassour_2010,antisense_transcript,1338197,1339402,2.56,-,.,Unit80
chrIV,Yassour_2010,antisense_transcript,1344469,1345178,2.35,+,.,Unit81
chrIV,Yassour_2010,antisense_transcript,1361162,1362308,2.33,+,.,Unit82
chrIV,Yassour_2010,antisense_transcript,1410499,1411995,2.26,+,.,Unit83
chrIV,Yassour_2010,antisense_transcript,1451374,1453092,3.08,-,.,Unit84
chrIV,Yassour_2010,antisense_transcript,1456208,1456759,2.91,+,.,Unit85
chrIV,Yassour_2010,antisense_transcript,1469824,1470388,2.21,-,.,Unit86
chrIV,Yassour_2010,antisense_transcript,1489265,1489870,4818.67,-,.,Unit87
chrIV,Yassour_2010,antisense_transcript,1489441,1489834,2.42,+,.,Unit88
chrIV,Yassour_2010,antisense_transcript,1500692,1502753,2.74,+,.,Unit89
chrIV,Yassour_2010,antisense_transcript,1508038,1509799,4.45,-,.,Unit90
chrV,Yassour_2010,antisense_transcript,26173,29611,14.9,+,.,Unit91
chrV,Yassour_2010,antisense_transcript,100790,101308,2.18,-,.,Unit92
chrV,Yassour_2010,antisense_transcript,133108,135245,3.22,-,.,Unit93
chrV,Yassour_2010,antisense_transcript,192727,194170,3.13,-,.,Unit94
chrV,Yassour_2010,antisense_transcript,225964,227027,4.64,-,.,Unit95
chrV,Yassour_2010,antisense_transcript,228637,229609,1.83,+,.,Unit96
chrV,Yassour_2010,antisense_transcript,263470,265852,1.12,+,.,Unit97
chrV,Yassour_2010,antisense_transcript,270683,271542,3.39,+,.,Unit98
chrV,Yassour_2010,antisense_transcript,273956,276313,9.07,-,.,Unit99
chrV,Yassour_2010,antisense_transcript,276338,278167,9.58,-,.,Unit100
chrV,Yassour_2010,antisense_transcript,279874,280884,15,+,.,Unit101
chrV,Yassour_2010,antisense_transcript,281650,282539,3.21,-,.,Unit102
chrV,Yassour_2010,antisense_transcript,285189,287404,7.51,+,.,Unit103
chrV,Yassour_2010,antisense_transcript,302655,303177,43.59,-,.,Unit104
chrV,Yassour_2010,antisense_transcript,318916,319514,3.08,-,.,Unit105
chrV,Yassour_2010,antisense_transcript,399447,401018,3.33,+,.,Unit106
chrV,Yassour_2010,antisense_transcript,463196,464870,1.56,+,.,Unit107
chrV,Yassour_2010,antisense_transcript,503149,503908,3.21,+,.,Unit108
chrVI,Yassour_2010,antisense_transcript,23279,25227,5.7,-,.,Unit109
chrVI,Yassour_2010,antisense_transcript,28248,32577,5.12,+,.,Unit110
chrVI,Yassour_2010,antisense_transcript,51575,52896,3.24,-,.,Unit111
chrVI,Yassour_2010,antisense_transcript,104092,104508,4.86,+,.,Unit112
chrVI,Yassour_2010,antisense_transcript,114944,115767,278.49,-,.,Unit113
chrVI,Yassour_2010,antisense_transcript,223240,223432,2.48,+,.,Unit114
chrVI,Yassour_2010,antisense_transcript,225654,226616,22.79,+,.,Unit115
chrVII,Yassour_2010,antisense_transcript,31892,32683,4.21,-,.,Unit116
chrVII,Yassour_2010,antisense_transcript,95572,97210,5.11,-,.,Unit117
chrVII,Yassour_2010,antisense_transcript,141898,144120,25.02,-,.,Unit118
chrVII,Yassour_2010,antisense_transcript,148201,148594,3.02,+,.,Unit119
chrVII,Yassour_2010,antisense_transcript,187440,190898,75.85,-,.,Unit120
chrVII,Yassour_2010,antisense_transcript,308833,310124,2.07,+,.,Unit121
chrVII,Yassour_2010,antisense_transcript,312124,313067,2.52,-,.,Unit122
chrVII,Yassour_2010,antisense_transcript,343285,345342,9.27,+,.,Unit123
chrVII,Yassour_2010,antisense_transcript,362193,364043,3.02,+,.,Unit124
chrVII,Yassour_2010,antisense_transcript,383503,384538,2.64,-,.,Unit125
chrVII,Yassour_2010,antisense_transcript,557513,559035,26.19,-,.,Unit126
chrVII,Yassour_2010,antisense_transcript,560601,561356,2.83,-,.,Unit127
chrVII,Yassour_2010,antisense_transcript,577163,579318,4.11,-,.,Unit128
chrVII,Yassour_2010,antisense_transcript,610462,611424,2.78,-,.,Unit129
chrVII,Yassour_2010,antisense_transcript,617386,617989,4.93,+,.,Unit130
chrVII,Yassour_2010,antisense_transcript,620659,621919,2.59,+,.,Unit131
chrVII,Yassour_2010,antisense_transcript,635694,636896,6.38,-,.,Unit132
chrVII,Yassour_2010,antisense_transcript,676556,677327,12.17,-,.,Unit133
chrVII,Yassour_2010,antisense_transcript,713432,714869,3.35,-,.,Unit134
chrVII,Yassour_2010,antisense_transcript,731359,733064,25.68,+,.,Unit135
chrVII,Yassour_2010,antisense_transcript,756593,757408,6.78,-,.,Unit136
chrVII,Yassour_2010,antisense_transcript,770654,771963,1.77,-,.,Unit137
chrVII,Yassour_2010,antisense_transcript,784138,784972,2.49,+,.,Unit138
chrVII,Yassour_2010,antisense_transcript,785234,786050,6.19,+,.,Unit139
chrVII,Yassour_2010,antisense_transcript,800556,801846,3.32,-,.,Unit140
chrVII,Yassour_2010,antisense_transcript,805273,806046,1.92,+,.,Unit141
chrVII,Yassour_2010,antisense_transcript,845746,846489,4.8,+,.,Unit142
chrVII,Yassour_2010,antisense_transcript,905012,905733,11.04,-,.,Unit143
chrVII,Yassour_2010,antisense_transcript,917040,919865,5.11,+,.,Unit144
chrVII,Yassour_2010,antisense_transcript,942617,944845,10.67,-,.,Unit145
chrVII,Yassour_2010,antisense_transcript,974271,974804,25.3,+,.,Unit146
chrVII,Yassour_2010,antisense_transcript,985770,986684,9.42,-,.,Unit147
chrVIII,Yassour_2010,antisense_transcript,14679,15919,7.71,-,.,Unit148
chrVIII,Yassour_2010,antisense_transcript,53435,54314,3.78,+,.,Unit149
chrVIII,Yassour_2010,antisense_transcript,56538,58874,9.23,-,.,Unit150
chrVIII,Yassour_2010,antisense_transcript,74257,75048,5.48,-,.,Unit151
chrVIII,Yassour_2010,antisense_transcript,75406,75849,4.83,-,.,Unit152
chrVIII,Yassour_2010,antisense_transcript,121954,122884,5.62,+,.,Unit153
chrVIII,Yassour_2010,antisense_transcript,122909,123826,2.79,+,.,Unit154
chrVIII,Yassour_2010,antisense_transcript,149463,150462,5.89,+,.,Unit155
chrVIII,Yassour_2010,antisense_transcript,151083,151423,2.27,+,.,Unit156
chrVIII,Yassour_2010,antisense_transcript,189133,190320,2.35,+,.,Unit157
chrVIII,Yassour_2010,antisense_transcript,204587,207281,6.33,-,.,Unit158
chrVIII,Yassour_2010,antisense_transcript,221428,222834,3.51,+,.,Unit159
chrVIII,Yassour_2010,antisense_transcript,237009,237687,4.64,-,.,Unit160
chrVIII,Yassour_2010,antisense_transcript,280884,281223,2.45,-,.,Unit161
chrVIII,Yassour_2010,antisense_transcript,294797,296480,6.85,+,.,Unit162
chrVIII,Yassour_2010,antisense_transcript,314243,314821,3.49,+,.,Unit163
chrVIII,Yassour_2010,antisense_transcript,333236,334235,3.57,-,.,Unit164
chrVIII,Yassour_2010,antisense_transcript,334426,336071,4.84,+,.,Unit165
chrVIII,Yassour_2010,antisense_transcript,356547,358029,6.37,-,.,Unit166
chrVIII,Yassour_2010,antisense_transcript,383548,384722,8.1,-,.,Unit167
chrVIII,Yassour_2010,antisense_transcript,385540,386978,3.55,-,.,Unit168
chrVIII,Yassour_2010,antisense_transcript,411065,412221,2.11,+,.,Unit169
chrVIII,Yassour_2010,antisense_transcript,419087,420173,3.45,+,.,Unit170
chrVIII,Yassour_2010,antisense_transcript,456473,458470,3.81,-,.,Unit171
chrVIII,Yassour_2010,antisense_transcript,484050,484609,6.06,-,.,Unit172
chrVIII,Yassour_2010,antisense_transcript,519284,520270,3.25,-,.,Unit173
chrIX,Yassour_2010,antisense_transcript,39403,41553,21.99,+,.,Unit174
chrIX,Yassour_2010,antisense_transcript,76376,77358,2.06,+,.,Unit175
chrIX,Yassour_2010,antisense_transcript,132370,133872,3.12,-,.,Unit176
chrIX,Yassour_2010,antisense_transcript,155262,155839,4.53,-,.,Unit177
chrIX,Yassour_2010,antisense_transcript,175452,177397,6.57,+,.,Unit178
chrIX,Yassour_2010,antisense_transcript,195406,196334,7.75,-,.,Unit179
chrIX,Yassour_2010,antisense_transcript,257806,258837,7.03,+,.,Unit180
chrIX,Yassour_2010,antisense_transcript,289234,290304,12.21,+,.,Unit181
chrIX,Yassour_2010,antisense_transcript,290343,291492,3.31,+,.,Unit182
chrIX,Yassour_2010,antisense_transcript,321251,321870,2.69,-,.,Unit183
chrIX,Yassour_2010,antisense_transcript,328125,332131,3.89,+,.,Unit184
chrIX,Yassour_2010,antisense_transcript,333606,334490,3.43,-,.,Unit185
chrIX,Yassour_2010,antisense_transcript,384595,385759,24.6,+,.,Unit186
chrX,Yassour_2010,antisense_transcript,67911,68864,4.05,+,.,Unit187
chrX,Yassour_2010,antisense_transcript,76834,79980,3.99,+,.,Unit188
chrX,Yassour_2010,antisense_transcript,82043,83091,2.95,+,.,Unit189
chrX,Yassour_2010,antisense_transcript,101147,101896,3.73,+,.,Unit190
chrX,Yassour_2010,antisense_transcript,111658,113388,5.39,+,.,Unit191
chrX,Yassour_2010,antisense_transcript,123774,126420,7.25,+,.,Unit192
chrX,Yassour_2010,antisense_transcript,126921,129043,2.04,+,.,Unit193
chrX,Yassour_2010,antisense_transcript,150976,151675,9.86,-,.,Unit194
chrX,Yassour_2010,antisense_transcript,181520,182693,2.33,+,.,Unit195
chrX,Yassour_2010,antisense_transcript,191144,192234,5.34,-,.,Unit196
chrX,Yassour_2010,antisense_transcript,193824,195022,16.17,+,.,Unit197
chrX,Yassour_2010,antisense_transcript,217634,218890,3.41,+,.,Unit198
chrX,Yassour_2010,antisense_transcript,224797,227126,3.01,-,.,Unit199
chrX,Yassour_2010,antisense_transcript,289765,291055,3.13,+,.,Unit200
chrX,Yassour_2010,antisense_transcript,291621,295065,21.41,+,.,Unit201
chrX,Yassour_2010,antisense_transcript,375102,375872,3.63,+,.,Unit202
chrX,Yassour_2010,antisense_transcript,458110,458584,3.51,+,.,Unit203
chrX,Yassour_2010,antisense_transcript,466481,468611,2.45,+,.,Unit204
chrX,Yassour_2010,antisense_transcript,518702,519409,1.18,+,.,Unit205
chrX,Yassour_2010,antisense_transcript,526339,528507,77,-,.,Unit206
chrX,Yassour_2010,antisense_transcript,573051,573734,3.22,-,.,Unit207
chrX,Yassour_2010,antisense_transcript,586034,587457,27.05,+,.,Unit208
chrX,Yassour_2010,antisense_transcript,611044,612075,5.47,-,.,Unit209
chrX,Yassour_2010,antisense_transcript,622455,624569,406.63,-,.,Unit210
chrX,Yassour_2010,antisense_transcript,627015,628660,11,-,.,Unit211
chrX,Yassour_2010,antisense_transcript,703476,705248,11.1,-,.,Unit212
chrX,Yassour_2010,antisense_transcript,722291,724246,6.5,-,.,Unit213
chrXI,Yassour_2010,antisense_transcript,22198,23961,9.06,-,.,Unit214
chrXI,Yassour_2010,antisense_transcript,80128,80723,3,+,.,Unit215
chrXI,Yassour_2010,antisense_transcript,128034,130310,3.78,-,.,Unit216
chrXI,Yassour_2010,antisense_transcript,153256,154680,17.9,-,.,Unit217
chrXI,Yassour_2010,antisense_transcript,163603,164399,4.18,+,.,Unit218
chrXI,Yassour_2010,antisense_transcript,164912,166169,4.96,+,.,Unit219
chrXI,Yassour_2010,antisense_transcript,175826,176548,2.39,+,.,Unit220
chrXI,Yassour_2010,antisense_transcript,200909,201936,2.31,+,.,Unit221
chrXI,Yassour_2010,antisense_transcript,236195,237006,2.49,-,.,Unit222
chrXI,Yassour_2010,antisense_transcript,246143,247749,3.22,+,.,Unit223
chrXI,Yassour_2010,antisense_transcript,259244,259598,3.52,-,.,Unit224
chrXI,Yassour_2010,antisense_transcript,264345,265966,13.71,-,.,Unit225
chrXI,Yassour_2010,antisense_transcript,303579,307038,10.36,-,.,Unit226
chrXI,Yassour_2010,antisense_transcript,309009,309678,1.51,-,.,Unit227
chrXI,Yassour_2010,antisense_transcript,326492,327519,8.27,+,.,Unit228
chrXI,Yassour_2010,antisense_transcript,334294,334975,3.66,+,.,Unit229
chrXI,Yassour_2010,antisense_transcript,339166,339583,2.14,+,.,Unit230
chrXI,Yassour_2010,antisense_transcript,339753,341196,4.94,+,.,Unit231
chrXI,Yassour_2010,antisense_transcript,341097,342533,38.39,-,.,Unit232
chrXI,Yassour_2010,antisense_transcript,360152,362398,49.3,-,.,Unit233
chrXI,Yassour_2010,antisense_transcript,369190,369688,11.21,-,.,Unit234
chrXI,Yassour_2010,antisense_transcript,461621,462588,2.33,+,.,Unit235
chrXI,Yassour_2010,antisense_transcript,463961,465032,8.1,-,.,Unit236
chrXI,Yassour_2010,antisense_transcript,466445,469137,4.06,+,.,Unit237
chrXI,Yassour_2010,antisense_transcript,521920,524003,12.49,-,.,Unit238
chrXI,Yassour_2010,antisense_transcript,521951,523989,27.08,+,.,Unit239
chrXI,Yassour_2010,antisense_transcript,524167,525294,70,+,.,Unit240
chrXI,Yassour_2010,antisense_transcript,526829,530697,22.84,+,.,Unit241
chrXI,Yassour_2010,antisense_transcript,533602,535439,7.66,+,.,Unit242
chrXI,Yassour_2010,antisense_transcript,560835,562286,2.58,+,.,Unit243
chrXII,Yassour_2010,antisense_transcript,18090,19751,6.37,-,.,Unit244
chrXII,Yassour_2010,antisense_transcript,25761,27072,3.17,+,.,Unit245
chrXII,Yassour_2010,antisense_transcript,39832,40457,1.14,+,.,Unit246
chrXII,Yassour_2010,antisense_transcript,97919,98897,2.67,+,.,Unit247
chrXII,Yassour_2010,antisense_transcript,158075,159982,4.24,+,.,Unit248
chrXII,Yassour_2010,antisense_transcript,203233,204028,6.87,-,.,Unit249
chrXII,Yassour_2010,antisense_transcript,224866,225176,4.02,+,.,Unit250
chrXII,Yassour_2010,antisense_transcript,228885,229722,3.62,+,.,Unit251
chrXII,Yassour_2010,antisense_transcript,229959,230494,4.66,+,.,Unit252
chrXII,Yassour_2010,antisense_transcript,231553,234122,2.84,+,.,Unit253
chrXII,Yassour_2010,antisense_transcript,245583,246269,20.35,+,.,Unit254
chrXII,Yassour_2010,antisense_transcript,247171,248489,26.46,+,.,Unit255
chrXII,Yassour_2010,antisense_transcript,259777,260854,4.08,+,.,Unit256
chrXII,Yassour_2010,antisense_transcript,274332,275289,3.04,+,.,Unit257
chrXII,Yassour_2010,antisense_transcript,322207,323368,2.51,-,.,Unit258
chrXII,Yassour_2010,antisense_transcript,323477,325624,6.67,-,.,Unit259
chrXII,Yassour_2010,antisense_transcript,339818,340973,2.62,+,.,Unit260
chrXII,Yassour_2010,antisense_transcript,369759,370192,8.37,+,.,Unit261
chrXII,Yassour_2010,antisense_transcript,387942,390409,11,+,.,Unit262
chrXII,Yassour_2010,antisense_transcript,391865,395403,7.42,+,.,Unit263
chrXII,Yassour_2010,antisense_transcript,498944,499395,5.01,-,.,Unit264
chrXII,Yassour_2010,antisense_transcript,540781,541654,6.6,+,.,Unit265
chrXII,Yassour_2010,antisense_transcript,641441,642379,11.91,-,.,Unit266
chrXII,Yassour_2010,antisense_transcript,673082,674018,577.32,+,.,Unit267
chrXII,Yassour_2010,antisense_transcript,680236,680897,1.53,-,.,Unit268
chrXII,Yassour_2010,antisense_transcript,721957,722384,2.64,+,.,Unit269
chrXII,Yassour_2010,antisense_transcript,724058,724645,3.85,-,.,Unit270
chrXII,Yassour_2010,antisense_transcript,764770,766202,16.68,+,.,Unit271
chrXII,Yassour_2010,antisense_transcript,781116,781351,2.28,+,.,Unit272
chrXII,Yassour_2010,antisense_transcript,806909,808738,2.79,-,.,Unit273
chrXII,Yassour_2010,antisense_transcript,815820,818179,21.23,-,.,Unit274
chrXII,Yassour_2010,antisense_transcript,853829,854666,3.76,-,.,Unit275
chrXII,Yassour_2010,antisense_transcript,873775,874942,4.53,+,.,Unit276
chrXII,Yassour_2010,antisense_transcript,897947,898904,2.55,-,.,Unit277
chrXII,Yassour_2010,antisense_transcript,903069,903370,2.57,-,.,Unit278
chrXII,Yassour_2010,antisense_transcript,909678,911675,0.98,+,.,Unit279
chrXII,Yassour_2010,antisense_transcript,1011540,1012165,9.6,+,.,Unit280
chrXII,Yassour_2010,antisense_transcript,1025533,1026670,8.31,-,.,Unit281
chrXIII,Yassour_2010,antisense_transcript,55271,56426,2.26,+,.,Unit282
chrXIII,Yassour_2010,antisense_transcript,68160,69497,2.8,-,.,Unit283
chrXIII,Yassour_2010,antisense_transcript,94445,95394,2.94,+,.,Unit284
chrXIII,Yassour_2010,antisense_transcript,140347,141575,4.26,+,.,Unit285
chrXIII,Yassour_2010,antisense_transcript,159114,159679,2.94,-,.,Unit286
chrXIII,Yassour_2010,antisense_transcript,165542,167595,3.88,+,.,Unit287
chrXIII,Yassour_2010,antisense_transcript,220107,220731,2.57,-,.,Unit288
chrXIII,Yassour_2010,antisense_transcript,246934,247408,3.01,+,.,Unit289
chrXIII,Yassour_2010,antisense_transcript,347380,348437,5.56,+,.,Unit290
chrXIII,Yassour_2010,antisense_transcript,352467,353597,3.84,-,.,Unit291
chrXIII,Yassour_2010,antisense_transcript,430158,431112,8.72,+,.,Unit292
chrXIII,Yassour_2010,antisense_transcript,455929,459416,9.08,+,.,Unit293
chrXIII,Yassour_2010,antisense_transcript,475735,480213,122.57,-,.,Unit294
chrXIII,Yassour_2010,antisense_transcript,502139,503300,8.85,+,.,Unit295
chrXIII,Yassour_2010,antisense_transcript,511279,511730,2.37,-,.,Unit296
chrXIII,Yassour_2010,antisense_transcript,623470,624192,5.84,+,.,Unit297
chrXIII,Yassour_2010,antisense_transcript,624202,625368,23.69,+,.,Unit298
chrXIII,Yassour_2010,antisense_transcript,667396,668138,1.76,-,.,Unit299
chrXIII,Yassour_2010,antisense_transcript,675968,676825,2.36,-,.,Unit300
chrXIII,Yassour_2010,antisense_transcript,720913,721408,3.6,+,.,Unit301
chrXIII,Yassour_2010,antisense_transcript,768828,770427,8.43,-,.,Unit302
chrXIII,Yassour_2010,antisense_transcript,795723,798287,20.34,-,.,Unit303
chrXIII,Yassour_2010,antisense_transcript,806850,807712,1.52,+,.,Unit304
chrXIII,Yassour_2010,antisense_transcript,811084,814050,27.54,-,.,Unit305
chrXIII,Yassour_2010,antisense_transcript,824742,830788,5.16,+,.,Unit306
chrXIII,Yassour_2010,antisense_transcript,863897,864248,1.69,-,.,Unit307
chrXIII,Yassour_2010,antisense_transcript,902658,904520,8.26,-,.,Unit308
chrXIII,Yassour_2010,antisense_transcript,912408,914616,1.83,+,.,Unit309
chrXIV,Yassour_2010,antisense_transcript,65617,66076,1.94,-,.,Unit310
chrXIV,Yassour_2010,antisense_transcript,117123,118909,9.81,-,.,Unit311
chrXIV,Yassour_2010,antisense_transcript,167260,167811,2.37,+,.,Unit312
chrXIV,Yassour_2010,antisense_transcript,185459,187139,42.96,+,.,Unit313
chrXIV,Yassour_2010,antisense_transcript,185650,186950,25.27,-,.,Unit314
chrXIV,Yassour_2010,antisense_transcript,204932,206590,15.05,-,.,Unit315
chrXIV,Yassour_2010,antisense_transcript,250780,251717,3.55,-,.,Unit316
chrXIV,Yassour_2010,antisense_transcript,254545,255009,2.94,-,.,Unit317
chrXIV,Yassour_2010,antisense_transcript,258387,263481,12.7,-,.,Unit318
chrXIV,Yassour_2010,antisense_transcript,270171,271033,5.24,+,.,Unit319
chrXIV,Yassour_2010,antisense_transcript,272001,273629,3.03,+,.,Unit320
chrXIV,Yassour_2010,antisense_transcript,336433,337737,4.65,-,.,Unit321
chrXIV,Yassour_2010,antisense_transcript,359566,360712,6.64,-,.,Unit322
chrXIV,Yassour_2010,antisense_transcript,372516,374188,4.73,+,.,Unit323
chrXIV,Yassour_2010,antisense_transcript,381252,382486,32.16,+,.,Unit324
chrXIV,Yassour_2010,antisense_transcript,440699,441408,9.89,+,.,Unit325
chrXIV,Yassour_2010,antisense_transcript,444892,447037,4.24,+,.,Unit326
chrXIV,Yassour_2010,antisense_transcript,490314,491168,3.41,-,.,Unit327
chrXIV,Yassour_2010,antisense_transcript,501650,502797,1.71,-,.,Unit328
chrXIV,Yassour_2010,antisense_transcript,542150,542947,10.58,-,.,Unit329
chrXIV,Yassour_2010,antisense_transcript,545055,546022,11.3,-,.,Unit330
chrXIV,Yassour_2010,antisense_transcript,609789,611733,3.06,-,.,Unit331
chrXIV,Yassour_2010,antisense_transcript,620023,620973,1.75,-,.,Unit332
chrXIV,Yassour_2010,antisense_transcript,632905,634017,8.71,+,.,Unit333
chrXIV,Yassour_2010,antisense_transcript,635981,636747,7.14,-,.,Unit334
chrXIV,Yassour_2010,antisense_transcript,652464,653234,3.24,-,.,Unit335
chrXIV,Yassour_2010,antisense_transcript,692590,692879,2.06,-,.,Unit336
chrXIV,Yassour_2010,antisense_transcript,707780,708095,1.32,-,.,Unit337
chrXIV,Yassour_2010,antisense_transcript,728254,730215,3.88,+,.,Unit338
chrXIV,Yassour_2010,antisense_transcript,731364,733273,3.08,+,.,Unit339
chrXIV,Yassour_2010,antisense_transcript,743905,746234,5.74,+,.,Unit340
chrXIV,Yassour_2010,antisense_transcript,764906,769405,5.7,-,.,Unit341
chrXIV,Yassour_2010,antisense_transcript,770367,771452,1.92,+,.,Unit342
chrXV,Yassour_2010,antisense_transcript,4146,5273,2.42,-,.,Unit343
chrXV,Yassour_2010,antisense_transcript,28705,33942,108.93,+,.,Unit344
chrXV,Yassour_2010,antisense_transcript,43598,44569,8.87,-,.,Unit345
chrXV,Yassour_2010,antisense_transcript,47900,48655,2.2,+,.,Unit346
chrXV,Yassour_2010,antisense_transcript,110255,110654,4.17,-,.,Unit347
chrXV,Yassour_2010,antisense_transcript,219210,220529,7.3,-,.,Unit348
